## General ##
Date: 2025-10-18
Used GPU: b200

## Data and Model ##
Dataset: subval_4.parquet, Shape: (500, 186)
Prompt set: one_long.json, #prompts: 20
Model: Qwen/Qwen3-32B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 10m 37s
Evaluation: 0h 0m 1s
Script total: 0h 10m 39s

## Evaluation ##
Evaluation dataset: subval_4.parquet, length: 500, metric: LONG_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.2180   |  0.1732  |  0.1809  |    98    |    2802    |    6127    | 0h 8m 39s  |     11     |
|    1     |  0.1808   |  0.1769  |  0.1669  |    94    |    1526    |    7819    | 0h 9m 15s  |     13     |
|    2     |  0.1335   |  0.1779  |  0.1453  |    93    |    2674    |   10166    | 0h 11m 52s |     16     |
|    3     |  0.1959   |  0.1720  |  0.1714  |    99    |    3774    |    6903    | 0h 7m 38s  |     11     |
|    4     |  0.1056   |  0.1898  |  0.1294  |    83    |    1667    |   11731    | 0h 15m 38s |     22     |
|    5     |  0.1721   |  0.1712  |  0.1610  |    95    |    3836    |    6673    | 0h 8m 26s  |     12     |
|    6     |  0.1876   |  0.1769  |  0.1709  |    89    |    3310    |    6472    |  0h 8m 8s  |     12     |
|    7     |  0.1283   |  0.1822  |  0.1412  |    99    |    3200    |   11800    | 0h 15m 4s  |     19     |
|    8     |  0.1496   |  0.1859  |  0.1562  |    95    |    3684    |    7537    | 0h 9m 18s  |     15     |
|    9     |  0.1365   |  0.1824  |  0.1457  |    93    |    2131    |   11337    | 0h 13m 39s |     17     |
|    10    |  0.2362   |  0.1446  |  0.1681  |   125    |    3148    |    5752    | 0h 6m 39s  |     7      |
|    11    |  0.1351   |  0.1768  |  0.1454  |   101    |    2265    |   11205    | 0h 12m 26s |     16     |
|    12    |  0.2274   |  0.1686  |  0.1786  |    97    |    3499    |    6384    |  0h 8m 0s  |     10     |
|    13    |  0.1162   |  0.1868  |  0.1361  |    95    |    1946    |   10626    | 0h 12m 56s |     19     |
|    14    |  0.2163   |  0.1732  |  0.1808  |    99    |    2571    |    5231    | 0h 6m 57s  |     10     |
|    15    |  0.1958   |  0.1711  |  0.1715  |   100    |    2207    |    8412    | 0h 10m 8s  |     12     |
|    16    |  0.1444   |  0.1637  |  0.1448  |   105    |    2458    |    8278    | 0h 9m 25s  |     14     |
|    17    |  0.1817   |  0.1933  |  0.1756  |    78    |    3199    |    7740    | 0h 9m 47s  |     14     |
|    18    |  0.1697   |  0.1743  |  0.1622  |    98    |    3394    |    7116    | 0h 9m 12s  |     13     |
|    19    |  0.1863   |  0.1737  |  0.1662  |   101    |    2724    |    9128    | 0h 10m 37s |     13     |

Evaluation dataset: subval_4.parquet, length: 500, metric: SHORT_CODES, mean codes GT: 12.8
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.2870   |  0.2177  |  0.2319  |    80    |    2802    |    6127    | 0h 8m 39s  |     11     |
|    1     |  0.2452   |  0.2302  |  0.2215  |    63    |    1526    |    7819    | 0h 9m 15s  |     13     |
|    2     |  0.1764   |  0.2282  |  0.1890  |    65    |    2674    |   10166    | 0h 11m 52s |     16     |
|    3     |  0.2639   |  0.2204  |  0.2242  |    75    |    3774    |    6903    | 0h 7m 38s  |     11     |
|    4     |  0.1476   |  0.2480  |  0.1763  |    59    |    1667    |   11731    | 0h 15m 38s |     22     |
|    5     |  0.2329   |  0.2212  |  0.2116  |    68    |    3836    |    6673    | 0h 8m 26s  |     12     |
|    6     |  0.2516   |  0.2282  |  0.2246  |    65    |    3310    |    6472    |  0h 8m 8s  |     12     |
|    7     |  0.1821   |  0.2400  |  0.1937  |    66    |    3200    |   11800    | 0h 15m 4s  |     19     |
|    8     |  0.2224   |  0.2509  |  0.2226  |    66    |    3684    |    7537    | 0h 9m 18s  |     15     |
|    9     |  0.1924   |  0.2432  |  0.2008  |    62    |    2131    |   11337    | 0h 13m 39s |     17     |
|    10    |  0.3092   |  0.1804  |  0.2133  |   100    |    3148    |    5752    | 0h 6m 39s  |     7      |
|    11    |  0.1841   |  0.2300  |  0.1939  |    64    |    2265    |   11205    | 0h 12m 26s |     16     |
|    12    |  0.3039   |  0.2144  |  0.2322  |    68    |    3499    |    6384    |  0h 8m 0s  |     10     |
|    13    |  0.1638   |  0.2473  |  0.1872  |    65    |    1946    |   10626    | 0h 12m 56s |     19     |
|    14    |  0.2857   |  0.2176  |  0.2314  |    65    |    2571    |    5231    | 0h 6m 57s  |     10     |
|    15    |  0.2595   |  0.2191  |  0.2227  |    71    |    2207    |    8412    | 0h 10m 8s  |     12     |
|    16    |  0.1946   |  0.2118  |  0.1913  |    73    |    2458    |    8278    | 0h 9m 25s  |     14     |
|    17    |  0.2505   |  0.2503  |  0.2346  |    58    |    3199    |    7740    | 0h 9m 47s  |     14     |
|    18    |  0.2313   |  0.2260  |  0.2144  |    62    |    3394    |    7116    | 0h 9m 12s  |     13     |
|    19    |  0.2476   |  0.2219  |  0.2154  |    76    |    2724    |    9128    | 0h 10m 37s |     13     |

