## General ##
Date: 2025-10-20
Used GPU: a100

## Data and Model ##
Dataset: subval_4.parquet, Shape: (500, 186)
Prompt set: one_long.json, #prompts: 20
Model: Qwen/Qwen3-8B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 20m 3s
Evaluation: 0h 0m 1s
Script total: 0h 20m 5s

## Evaluation ##
Evaluation dataset: subval_4.parquet, length: 500, metric: LONG_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.1498   |  0.0763  |  0.0944  |   229    |    2802    |    6630    | 0h 12m 21s |     6      |
|    1     |  0.1108   |  0.0761  |  0.0846  |   209    |    1427    |    8430    | 0h 13m 35s |     8      |
|    2     |  0.1170   |  0.1044  |  0.1019  |   172    |    3386    |   10639    | 0h 21m 46s |     11     |
|    3     |  0.1810   |  0.1059  |  0.1216  |   157    |    3547    |    9266    | 0h 17m 11s |     7      |
|    4     |  0.1182   |  0.1047  |  0.1047  |   167    |    3480    |    9151    | 0h 18m 35s |     11     |
|    5     |  0.1542   |  0.1037  |  0.1159  |   167    |    4230    |    9677    | 0h 18m 38s |     9      |
|    6     |  0.1889   |  0.0986  |  0.1214  |   175    |    3939    |    8855    | 0h 16m 14s |     7      |
|    7     |  0.1601   |  0.1085  |  0.1215  |   158    |    4629    |    8361    | 0h 15m 44s |     9      |
|    8     |  0.1329   |  0.1121  |  0.1123  |   161    |    4596    |   10278    | 0h 20m 24s |     11     |
|    9     |  0.1744   |  0.1014  |  0.1188  |   175    |    4489    |    9348    | 0h 17m 42s |     8      |
|    10    |  0.1473   |  0.0942  |  0.1078  |   181    |    3567    |    9443    | 0h 17m 52s |     8      |
|    11    |  0.1628   |  0.1065  |  0.1204  |   168    |    4182    |   10195    | 0h 19m 7s  |     8      |
|    12    |  0.1004   |  0.0739  |  0.0791  |   225    |    733     |    9366    | 0h 17m 45s |     9      |
|    13    |  0.1727   |  0.1107  |  0.1251  |   156    |    4093    |    9562    | 0h 18m 45s |     8      |
|    14    |  0.1653   |  0.1028  |  0.1184  |   159    |    4424    |    8564    | 0h 16m 35s |     8      |
|    15    |  0.1634   |  0.1028  |  0.1172  |   168    |    4212    |    8384    | 0h 16m 8s  |     8      |
|    16    |  0.1490   |  0.1034  |  0.1114  |   174    |    4267    |   10293    | 0h 20m 47s |     10     |
|    17    |  0.1606   |  0.1107  |  0.1234  |   158    |    5108    |    9140    | 0h 18m 1s  |     9      |
|    18    |  0.1099   |  0.0811  |  0.0879  |   209    |    2217    |    9344    | 0h 18m 37s |     11     |
|    19    |  0.1073   |  0.0925  |  0.0932  |   197    |    1650    |   10096    | 0h 20m 3s  |     10     |

Evaluation dataset: subval_4.parquet, length: 500, metric: SHORT_CODES, mean codes GT: 12.8
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.2197   |  0.1059  |  0.1326  |   181    |    2802    |    6630    | 0h 12m 21s |     6      |
|    1     |  0.2001   |  0.1261  |  0.1445  |   150    |    1427    |    8430    | 0h 13m 35s |     8      |
|    2     |  0.1750   |  0.1460  |  0.1475  |   130    |    3386    |   10639    | 0h 21m 46s |     11     |
|    3     |  0.2543   |  0.1435  |  0.1691  |   124    |    3547    |    9266    | 0h 17m 11s |     7      |
|    4     |  0.1747   |  0.1488  |  0.1516  |   123    |    3480    |    9151    | 0h 18m 35s |     11     |
|    5     |  0.2196   |  0.1439  |  0.1630  |   118    |    4230    |    9677    | 0h 18m 38s |     9      |
|    6     |  0.2729   |  0.1353  |  0.1679  |   129    |    3939    |    8855    | 0h 16m 14s |     7      |
|    7     |  0.2355   |  0.1546  |  0.1751  |   112    |    4629    |    8361    | 0h 15m 44s |     9      |
|    8     |  0.1948   |  0.1605  |  0.1641  |   107    |    4596    |   10278    | 0h 20m 24s |     11     |
|    9     |  0.2445   |  0.1400  |  0.1655  |   136    |    4489    |    9348    | 0h 17m 42s |     8      |
|    10    |  0.2130   |  0.1320  |  0.1529  |   144    |    3567    |    9443    | 0h 17m 52s |     8      |
|    11    |  0.2300   |  0.1447  |  0.1660  |   124    |    4182    |   10195    | 0h 19m 7s  |     8      |
|    12    |  0.1740   |  0.1213  |  0.1327  |   151    |    733     |    9366    | 0h 17m 45s |     9      |
|    13    |  0.2558   |  0.1578  |  0.1813  |   114    |    4093    |    9562    | 0h 18m 45s |     8      |
|    14    |  0.2324   |  0.1458  |  0.1676  |   119    |    4424    |    8564    | 0h 16m 35s |     8      |
|    15    |  0.2432   |  0.1499  |  0.1727  |   119    |    4212    |    8384    | 0h 16m 8s  |     8      |
|    16    |  0.2266   |  0.1468  |  0.1629  |   125    |    4267    |   10293    | 0h 20m 47s |     10     |
|    17    |  0.2362   |  0.1597  |  0.1794  |   111    |    5108    |    9140    | 0h 18m 1s  |     9      |
|    18    |  0.1633   |  0.1186  |  0.1293  |   160    |    2217    |    9344    | 0h 18m 37s |     11     |
|    19    |  0.1625   |  0.1325  |  0.1373  |   138    |    1650    |   10096    | 0h 20m 3s  |     10     |

