## General ##
Date: 2025-10-18
Used GPU: h100

## Data and Model ##
Dataset: subval_3.parquet, Shape: (100, 456)
Prompt set: one_long.json, #prompts: 50
Model: Qwen/Qwen3-14B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 2m 32s
Evaluation: 0h 0m 1s
Script total: 0h 2m 34s

## Evaluation ##
Evaluation dataset: subval_3.parquet, length: 100, metric: LONG_CODES, mean codes GT: 13.0
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.2400   |  0.1430  |  0.1659  |    22    |    2802    |    5687    | 0h 1m 45s  |     8      |
|    1     |  0.1439   |  0.1393  |  0.1345  |    25    |    2469    |   10545    | 0h 4m 32s  |     12     |
|    2     |  0.1982   |  0.1572  |  0.1623  |    20    |    2954    |    9622    | 0h 2m 57s  |     12     |
|    3     |  0.1694   |  0.1619  |  0.1491  |    24    |    2721    |    7104    |  0h 2m 6s  |     14     |
|    4     |  0.1221   |  0.1352  |  0.1209  |    30    |    1919    |    8202    | 0h 2m 31s  |     14     |
|    5     |  0.2290   |  0.1695  |  0.1785  |    17    |    3309    |    7765    | 0h 2m 22s  |     10     |
|    6     |  0.1530   |  0.0991  |  0.1119  |    45    |    1345    |    7258    |  0h 2m 3s  |     7      |
|    7     |  0.2553   |  0.1817  |  0.1974  |    17    |    3778    |    7884    |  0h 4m 5s  |     9      |
|    8     |  0.1761   |  0.1428  |  0.1441  |    24    |    3332    |    8140    | 0h 2m 12s  |     11     |
|    9     |  0.1961   |  0.1797  |  0.1760  |    17    |    4037    |    9189    | 0h 2m 44s  |     12     |
|    10    |  0.1724   |  0.1394  |  0.1454  |    27    |    4133    |    8907    | 0h 2m 38s  |     10     |
|    11    |  0.2435   |  0.1677  |  0.1861  |    18    |    4275    |    8234    |  0h 4m 8s  |     10     |
|    12    |  0.2226   |  0.1551  |  0.1708  |    24    |    4258    |    7747    | 0h 2m 42s  |     9      |
|    13    |  0.2547   |  0.1834  |  0.1959  |    19    |    4282    |    7395    |  0h 4m 2s  |     10     |
|    14    |  0.2301   |  0.1830  |  0.1872  |    19    |    4385    |    9544    | 0h 2m 46s  |     11     |
|    15    |  0.1614   |  0.1429  |  0.1392  |    24    |    4293    |    8595    |  0h 3m 2s  |     12     |
|    16    |  0.2240   |  0.1742  |  0.1813  |    17    |    4174    |    7562    |  0h 4m 5s  |     10     |
|    17    |  0.2328   |  0.1791  |  0.1875  |    16    |    4366    |    8857    | 0h 2m 39s  |     10     |
|    18    |  0.1709   |  0.1440  |  0.1443  |    23    |    4373    |    9970    | 0h 4m 27s  |     11     |
|    19    |  0.2349   |  0.1757  |  0.1873  |    21    |    4495    |    9556    | 0h 3m 13s  |     10     |
|    20    |  0.2416   |  0.1731  |  0.1876  |    19    |    4583    |    6891    |  0h 2m 7s  |     10     |
|    21    |  0.1954   |  0.1702  |  0.1676  |    18    |    4408    |    7728    |  0h 4m 6s  |     15     |
|    22    |  0.2261   |  0.1846  |  0.1896  |    17    |    4191    |    7590    | 0h 2m 22s  |     10     |
|    23    |  0.2457   |  0.1752  |  0.1901  |    16    |    4419    |    8958    | 0h 2m 22s  |     9      |
|    24    |  0.2410   |  0.1678  |  0.1813  |    19    |    4408    |    7671    |  0h 2m 3s  |     10     |
|    25    |  0.2333   |  0.1735  |  0.1841  |    19    |    3995    |    9044    | 0h 2m 36s  |     10     |
|    26    |  0.2490   |  0.1488  |  0.1757  |    23    |    4395    |    7943    | 0h 2m 14s  |     8      |
|    27    |  0.2180   |  0.1813  |  0.1815  |    23    |    4299    |    7679    | 0h 2m 18s  |     10     |
|    28    |  0.1824   |  0.1528  |  0.1539  |    27    |    3772    |    8280    |  0h 4m 9s  |     12     |
|    29    |  0.2321   |  0.1761  |  0.1864  |    17    |    4200    |    8926    | 0h 4m 15s  |     10     |
|    30    |  0.2136   |  0.1700  |  0.1720  |    21    |    4480    |    8122    | 0h 2m 32s  |     11     |
|    31    |  0.2029   |  0.1747  |  0.1747  |    15    |    4092    |    8103    | 0h 2m 35s  |     11     |
|    32    |  0.2310   |  0.1734  |  0.1828  |    17    |    4168    |    8105    |  0h 4m 8s  |     10     |
|    33    |  0.2416   |  0.1827  |  0.1949  |    16    |    4230    |    8178    | 0h 2m 24s  |     10     |
|    34    |  0.2491   |  0.1806  |  0.1945  |    16    |    3978    |    8298    | 0h 4m 21s  |     10     |
|    35    |  0.2343   |  0.1690  |  0.1823  |    18    |    4475    |    6593    | 0h 2m 13s  |     9      |
|    36    |  0.2092   |  0.1874  |  0.1825  |    16    |    3785    |    8651    | 0h 2m 39s  |     12     |
|    37    |  0.2392   |  0.1748  |  0.1844  |    18    |    4348    |    9236    | 0h 4m 22s  |     10     |
|    38    |  0.2214   |  0.1805  |  0.1833  |    19    |    4359    |    8712    | 0h 2m 49s  |     11     |
|    39    |  0.2335   |  0.1789  |  0.1884  |    17    |    4294    |    8935    | 0h 3m 11s  |     10     |
|    40    |  0.2198   |  0.1861  |  0.1890  |    19    |    4016    |    8793    | 0h 2m 37s  |     11     |
|    41    |  0.1826   |  0.1568  |  0.1599  |    25    |    3896    |    9908    | 0h 4m 29s  |     11     |
|    42    |  0.2045   |  0.1786  |  0.1747  |    18    |    4220    |    8352    | 0h 4m 11s  |     12     |
|    43    |  0.2098   |  0.1794  |  0.1766  |    17    |    4180    |    9105    | 0h 4m 19s  |     11     |
|    44    |  0.2347   |  0.2011  |  0.2020  |    9     |    4562    |    8118    |  0h 4m 8s  |     11     |
|    45    |  0.2363   |  0.1753  |  0.1864  |    18    |    4378    |    7242    | 0h 2m 22s  |     10     |
|    46    |  0.2131   |  0.1811  |  0.1821  |    14    |    4575    |    7806    | 0h 4m 12s  |     11     |
|    47    |  0.2309   |  0.1972  |  0.1973  |    14    |    5053    |    7892    | 0h 2m 37s  |     12     |
|    48    |  0.2302   |  0.1992  |  0.1979  |    13    |    4669    |    7620    | 0h 3m 52s  |     12     |
|    49    |  0.2308   |  0.1969  |  0.1982  |    15    |    5179    |    8271    | 0h 2m 32s  |     11     |

Evaluation dataset: subval_3.parquet, length: 100, metric: SHORT_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.3560   |  0.2110  |  0.2464  |    13    |    2802    |    5687    | 0h 1m 45s  |     8      |
|    1     |  0.2178   |  0.2103  |  0.2033  |    14    |    2469    |   10545    | 0h 4m 32s  |     12     |
|    2     |  0.2811   |  0.2267  |  0.2339  |    11    |    2954    |    9622    | 0h 2m 57s  |     12     |
|    3     |  0.2510   |  0.2275  |  0.2200  |    14    |    2721    |    7104    |  0h 2m 6s  |     14     |
|    4     |  0.1964   |  0.2019  |  0.1881  |    20    |    1919    |    8202    | 0h 2m 31s  |     14     |
|    5     |  0.3244   |  0.2306  |  0.2497  |    12    |    3309    |    7765    | 0h 2m 22s  |     10     |
|    6     |  0.2490   |  0.1435  |  0.1672  |    35    |    1345    |    7258    |  0h 2m 3s  |     7      |
|    7     |  0.3522   |  0.2469  |  0.2688  |    10    |    3778    |    7884    |  0h 4m 5s  |     9      |
|    8     |  0.2696   |  0.2104  |  0.2180  |    13    |    3332    |    8140    | 0h 2m 12s  |     11     |
|    9     |  0.2876   |  0.2483  |  0.2500  |    10    |    4037    |    9189    | 0h 2m 44s  |     12     |
|    10    |  0.2651   |  0.2038  |  0.2163  |    14    |    4133    |    8907    | 0h 2m 38s  |     10     |
|    11    |  0.3508   |  0.2307  |  0.2611  |    11    |    4275    |    8234    |  0h 4m 8s  |     10     |
|    12    |  0.3059   |  0.2090  |  0.2326  |    13    |    4258    |    7747    | 0h 2m 42s  |     9      |
|    13    |  0.3553   |  0.2410  |  0.2673  |    8     |    4282    |    7395    |  0h 4m 2s  |     10     |
|    14    |  0.3280   |  0.2480  |  0.2613  |    8     |    4385    |    9544    | 0h 2m 46s  |     11     |
|    15    |  0.2413   |  0.2020  |  0.2041  |    17    |    4293    |    8595    |  0h 3m 2s  |     12     |
|    16    |  0.3177   |  0.2349  |  0.2495  |    9     |    4174    |    7562    |  0h 4m 5s  |     10     |
|    17    |  0.3284   |  0.2464  |  0.2614  |    10    |    4366    |    8857    | 0h 2m 39s  |     10     |
|    18    |  0.2686   |  0.2127  |  0.2216  |    12    |    4373    |    9970    | 0h 4m 27s  |     11     |
|    19    |  0.3263   |  0.2320  |  0.2540  |    13    |    4495    |    9556    | 0h 3m 13s  |     10     |
|    20    |  0.3299   |  0.2266  |  0.2468  |    10    |    4583    |    6891    |  0h 2m 7s  |     10     |
|    21    |  0.2727   |  0.2367  |  0.2351  |    9     |    4408    |    7728    |  0h 4m 6s  |     15     |
|    22    |  0.3218   |  0.2497  |  0.2633  |    10    |    4191    |    7590    | 0h 2m 22s  |     10     |
|    23    |  0.3542   |  0.2402  |  0.2657  |    7     |    4419    |    8958    | 0h 2m 22s  |     9      |
|    24    |  0.3348   |  0.2219  |  0.2481  |    14    |    4408    |    7671    |  0h 2m 3s  |     10     |
|    25    |  0.3274   |  0.2363  |  0.2546  |    10    |    3995    |    9044    | 0h 2m 36s  |     10     |
|    26    |  0.3396   |  0.1981  |  0.2358  |    15    |    4395    |    7943    | 0h 2m 14s  |     8      |
|    27    |  0.3142   |  0.2467  |  0.2547  |    13    |    4299    |    7679    | 0h 2m 18s  |     10     |
|    28    |  0.2666   |  0.2093  |  0.2176  |    16    |    3772    |    8280    |  0h 4m 9s  |     12     |
|    29    |  0.3265   |  0.2323  |  0.2560  |    10    |    4200    |    8926    | 0h 4m 15s  |     10     |
|    30    |  0.3018   |  0.2345  |  0.2421  |    10    |    4480    |    8122    | 0h 2m 32s  |     11     |
|    31    |  0.2934   |  0.2408  |  0.2472  |    6     |    4092    |    8103    | 0h 2m 35s  |     11     |
|    32    |  0.3277   |  0.2314  |  0.2508  |    9     |    4168    |    8105    |  0h 4m 8s  |     10     |
|    33    |  0.3430   |  0.2434  |  0.2672  |    12    |    4230    |    8178    | 0h 2m 24s  |     10     |
|    34    |  0.3549   |  0.2400  |  0.2653  |    9     |    3978    |    8298    | 0h 4m 21s  |     10     |
|    35    |  0.3418   |  0.2347  |  0.2591  |    12    |    4475    |    6593    | 0h 2m 13s  |     9      |
|    36    |  0.3018   |  0.2531  |  0.2567  |    9     |    3785    |    8651    | 0h 2m 39s  |     12     |
|    37    |  0.3299   |  0.2304  |  0.2489  |    11    |    4348    |    9236    | 0h 4m 22s  |     10     |
|    38    |  0.3254   |  0.2571  |  0.2663  |    9     |    4359    |    8712    | 0h 2m 49s  |     11     |
|    39    |  0.3320   |  0.2436  |  0.2622  |    11    |    4294    |    8935    | 0h 3m 11s  |     10     |
|    40    |  0.3215   |  0.2511  |  0.2633  |    12    |    4016    |    8793    | 0h 2m 37s  |     11     |
|    41    |  0.2663   |  0.2166  |  0.2265  |    14    |    3896    |    9908    | 0h 4m 29s  |     11     |
|    42    |  0.3111   |  0.2569  |  0.2582  |    8     |    4220    |    8352    | 0h 4m 11s  |     12     |
|    43    |  0.3037   |  0.2452  |  0.2496  |    11    |    4180    |    9105    | 0h 4m 19s  |     11     |
|    44    |  0.3160   |  0.2580  |  0.2669  |    5     |    4562    |    8118    |  0h 4m 8s  |     11     |
|    45    |  0.3291   |  0.2270  |  0.2495  |    12    |    4378    |    7242    | 0h 2m 22s  |     10     |
|    46    |  0.3011   |  0.2404  |  0.2489  |    10    |    4575    |    7806    | 0h 4m 12s  |     11     |
|    47    |  0.3114   |  0.2561  |  0.2610  |    10    |    5053    |    7892    | 0h 2m 37s  |     12     |
|    48    |  0.3164   |  0.2680  |  0.2686  |    3     |    4669    |    7620    | 0h 3m 52s  |     12     |
|    49    |  0.3104   |  0.2511  |  0.2597  |    9     |    5179    |    8271    | 0h 2m 32s  |     11     |

