## General ##
Date: 2025-10-19
Used GPU: h100

## Data and Model ##
Dataset: subval_3.parquet, Shape: (100, 456)
Prompt set: one_short.json, #prompts: 50
Model: Qwen/Qwen3-14B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 2m 9s
Evaluation: 0h 0m 0s
Script total: 0h 2m 10s

## Evaluation ##
Evaluation dataset: subval_3.parquet, length: 100, metric: LONG_CODES, mean codes GT: 13.0
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.1237   |  0.1120  |  0.1105  |    32    |    223     |    6181    | 0h 1m 32s  |     11     |
|    1     |  0.1741   |  0.1317  |  0.1426  |    31    |    963     |    5168    | 0h 1m 20s  |     9      |
|    2     |  0.1043   |  0.1693  |  0.1229  |    19    |    651     |   11635    | 0h 3m 20s  |     20     |
|    3     |  0.1286   |  0.1440  |  0.1290  |    18    |    1093    |    6429    | 0h 1m 59s  |     14     |
|    4     |  0.1359   |  0.1554  |  0.1370  |    24    |    1602    |    7922    | 0h 2m 22s  |     13     |
|    5     |  0.1387   |  0.1161  |  0.1198  |    28    |    1071    |    6743    | 0h 1m 56s  |     10     |
|    6     |  0.1205   |  0.0977  |  0.1024  |    38    |    952     |    9249    | 0h 2m 16s  |     9      |
|    7     |  0.1392   |  0.1029  |  0.1116  |    40    |    1157    |    6956    |  0h 2m 0s  |     8      |
|    8     |  0.1396   |  0.1018  |  0.1125  |    34    |    1695    |    6290    | 0h 1m 50s  |     9      |
|    9     |  0.1464   |  0.1234  |  0.1268  |    29    |    1281    |    6084    | 0h 1m 35s  |     9      |
|    10    |  0.1301   |  0.1174  |  0.1179  |    36    |    929     |   10126    | 0h 2m 33s  |     10     |
|    11    |  0.0674   |  0.0409  |  0.0458  |    67    |    983     |    7800    | 0h 2m 44s  |     6      |
|    12    |  0.1644   |  0.1551  |  0.1502  |    17    |    1254    |    7139    | 0h 1m 49s  |     11     |
|    13    |  0.1531   |  0.1234  |  0.1299  |    33    |    1437    |    6550    | 0h 1m 44s  |     10     |
|    14    |  0.1341   |  0.1513  |  0.1361  |    23    |    1264    |    7771    |  0h 4m 0s  |     13     |
|    15    |  0.1245   |  0.1423  |  0.1255  |    25    |    1351    |    7263    |  0h 2m 7s  |     14     |
|    16    |  0.1575   |  0.1490  |  0.1435  |    20    |    1411    |    5329    | 0h 1m 43s  |     11     |
|    17    |  0.1669   |  0.1554  |  0.1533  |    20    |    1355    |    7217    |  0h 2m 8s  |     11     |
|    18    |  0.1431   |  0.1515  |  0.1395  |    15    |    1347    |    7359    | 0h 1m 59s  |     13     |
|    19    |  0.1492   |  0.1445  |  0.1397  |    27    |    1584    |    7940    | 0h 2m 32s  |     12     |
