## General ##
Date: 2025-10-19
Used GPU: b200

## Data and Model ##
Dataset: subval_3.parquet, Shape: (100, 456)
Prompt set: one_short.json, #prompts: 50
Model: Qwen/Qwen3-32B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 4m 47s
Evaluation: 0h 0m 0s
Script total: 0h 4m 48s

## Evaluation ##
Evaluation dataset: subval_3.parquet, length: 100, metric: LONG_CODES, mean codes GT: 13.0
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.1788   |  0.1798  |  0.1667  |    16    |    223     |    7308    | 0h 4m 24s  |     12     |
|    1     |  0.1510   |  0.2088  |  0.1684  |    12    |    946     |    9585    | 0h 3m 43s  |     17     |
|    2     |  0.1334   |  0.2319  |  0.1591  |    12    |    1497    |   15194    |  0h 5m 0s  |     24     |
|    3     |  0.1375   |  0.2076  |  0.1500  |    17    |    1357    |   15681    |  0h 5m 4s  |     28     |
|    4     |  0.1296   |  0.2326  |  0.1527  |    11    |    1431    |   17142    |  0h 5m 6s  |     28     |
|    5     |  0.1286   |  0.2254  |  0.1496  |    10    |    1352    |   16334    |  0h 5m 8s  |     35     |
|    6     |  0.1293   |  0.2160  |  0.1464  |    11    |    1145    |   12607    | 0h 4m 41s  |     36     |
|    7     |  0.1169   |  0.2207  |  0.1422  |    11    |    1787    |   23757    | 0h 5m 12s  |     26     |
|    8     |  0.1182   |  0.2282  |  0.1461  |    11    |    1286    |   13536    | 0h 4m 44s  |     31     |
|    9     |  0.1156   |  0.2067  |  0.1383  |    14    |    1325    |   13630    | 0h 4m 35s  |     25     |
|    10    |  0.1372   |  0.2368  |  0.1590  |    15    |    1131    |   14850    |  0h 5m 2s  |     29     |
|    11    |  0.1302   |  0.1969  |  0.1449  |    17    |    1380    |   20798    |  0h 5m 1s  |     25     |
|    12    |  0.1387   |  0.2093  |  0.1557  |    17    |    1812    |   15154    | 0h 4m 59s  |     22     |
|    13    |  0.1158   |  0.2256  |  0.1400  |    9     |    1253    |   15201    |  0h 5m 1s  |     40     |
|    14    |  0.1422   |  0.2189  |  0.1566  |    12    |    1352    |   14913    |  0h 5m 4s  |     29     |
|    15    |  0.1231   |  0.2458  |  0.1533  |    9     |    1292    |   17086    | 0h 4m 55s  |     30     |
|    16    |  0.1286   |  0.2210  |  0.1503  |    11    |    1204    |   17522    | 0h 5m 12s  |     32     |
|    17    |  0.1509   |  0.2304  |  0.1674  |    13    |    1208    |   15680    | 0h 4m 54s  |     26     |
|    18    |  0.1241   |  0.2330  |  0.1482  |    11    |    1261    |   15798    |  0h 5m 6s  |     35     |
|    19    |  0.1492   |  0.2132  |  0.1635  |    12    |    1374    |   14784    | 0h 4m 54s  |     24     |
|    20    |  0.1185   |  0.2181  |  0.1407  |    16    |    1273    |   20016    |  0h 5m 5s  |     28     |
