## General ##
Date: 2025-10-19
Used GPU: a100

## Data and Model ##
Dataset: subval_3.parquet, Shape: (100, 456)
Prompt set: one_short.json, #prompts: 50
Model: Qwen/Qwen3-8B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 15m 22s
Evaluation: 0h 0m 1s
Script total: 0h 15m 24s

## Evaluation ##
Evaluation dataset: subval_3.parquet, length: 100, metric: LONG_CODES, mean codes GT: 13.0
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.0795   |  0.0645  |  0.0659  |    52    |    223     |    7872    | 0h 2m 24s  |     8      |
|    1     |  0.0795   |  0.1178  |  0.0907  |    29    |    852     |   13076    | 0h 6m 10s  |     17     |
|    2     |  0.0927   |  0.1282  |  0.1004  |    22    |    951     |   15983    | 0h 6m 49s  |     17     |
|    3     |  0.0782   |  0.1265  |  0.0920  |    25    |    1754    |   18696    | 0h 10m 31s |     22     |
|    4     |  0.0951   |  0.1313  |  0.1037  |    24    |    1472    |   22624    | 0h 11m 41s |     20     |
|    5     |  0.0885   |  0.1253  |  0.0960  |    21    |    1399    |   16384    | 0h 8m 18s  |     20     |
|    6     |  0.1094   |  0.1230  |  0.1077  |    21    |    1736    |   21170    | 0h 11m 8s  |     17     |
|    7     |  0.1028   |  0.1431  |  0.1116  |    22    |    1904    |   23050    | 0h 12m 12s |     20     |
|    8     |  0.1008   |  0.1347  |  0.1086  |    22    |    2848    |   20627    | 0h 10m 35s |     19     |
|    9     |  0.1034   |  0.1355  |  0.1090  |    24    |    2717    |   25100    | 0h 12m 56s |     19     |
|    10    |  0.0953   |  0.1351  |  0.1033  |    22    |    2477    |   24405    | 0h 13m 1s  |     20     |
|    11    |  0.1035   |  0.1287  |  0.1072  |    20    |    2098    |   22491    | 0h 11m 39s |     19     |
|    12    |  0.1237   |  0.1459  |  0.1252  |    23    |    2020    |   23552    | 0h 12m 6s  |     16     |
|    13    |  0.1130   |  0.1406  |  0.1164  |    22    |    2800    |   23473    | 0h 11m 49s |     17     |
|    14    |  0.1005   |  0.1378  |  0.1086  |    22    |    3472    |   23725    | 0h 12m 31s |     20     |
|    15    |  0.1135   |  0.1499  |  0.1213  |    22    |    3382    |   23706    | 0h 11m 50s |     17     |
|    16    |  0.1105   |  0.1404  |  0.1147  |    22    |    2166    |   22905    | 0h 11m 36s |     16     |
