## General ##
Date: 2025-10-18
Used GPU: b200

## Data and Model ##
Dataset: subval_4.parquet, Shape: (500, 186)
Prompt set: one_short.json, #prompts: 20
Model: Qwen/Qwen3-32B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 13m 49s
Evaluation: 0h 0m 1s
Script total: 0h 13m 50s

## Evaluation ##
Evaluation dataset: subval_4.parquet, length: 500, metric: LONG_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.1662   |  0.1579  |  0.1527  |   114    |    223     |    6697    | 0h 8m 36s  |     11     |
|    1     |  0.1156   |  0.1712  |  0.1303  |   103    |    1134    |    8700    | 0h 10m 20s |     17     |
|    2     |  0.1430   |  0.1912  |  0.1551  |    89    |    1221    |    6400    |  0h 8m 3s  |     21     |
|    3     |  0.1620   |  0.1988  |  0.1683  |    82    |    1319    |   10292    | 0h 12m 38s |     15     |
|    4     |  0.1448   |  0.1789  |  0.1505  |    94    |    1678    |    7655    | 0h 9m 18s  |     19     |
|    5     |  0.1136   |  0.2021  |  0.1387  |    81    |    2506    |   12066    | 0h 16m 7s  |     22     |
|    6     |  0.1209   |  0.1933  |  0.1421  |    80    |    1883    |   11152    | 0h 13m 16s |     20     |
|    7     |  0.1361   |  0.2098  |  0.1555  |    74    |    1798    |   12172    | 0h 15m 14s |     20     |
|    8     |  0.1457   |  0.2014  |  0.1612  |    89    |    1750    |   11545    | 0h 15m 2s  |     17     |
|    9     |  0.1336   |  0.1869  |  0.1482  |    87    |    2093    |   11056    | 0h 12m 51s |     18     |
|    10    |  0.1513   |  0.1965  |  0.1600  |    84    |    2167    |   11586    | 0h 13m 54s |     17     |
|    11    |  0.1263   |  0.2112  |  0.1505  |    73    |    1787    |   12653    | 0h 15m 54s |     21     |
|    12    |  0.1396   |  0.1916  |  0.1534  |    76    |    2078    |   10066    | 0h 12m 13s |     17     |
|    13    |  0.1340   |  0.2033  |  0.1530  |    78    |    2252    |   11569    | 0h 15m 12s |     19     |
|    14    |  0.1709   |  0.1934  |  0.1709  |    86    |    1962    |   11470    | 0h 13m 7s  |     15     |
|    15    |  0.1412   |  0.2039  |  0.1572  |    81    |    1754    |   11114    | 0h 13m 24s |     19     |
|    16    |  0.1529   |  0.1828  |  0.1577  |    87    |    2806    |   12354    | 0h 13m 50s |     15     |
|    17    |  0.1808   |  0.1808  |  0.1689  |   102    |    2475    |   11558    | 0h 13m 27s |     13     |
|    18    |  0.1433   |  0.1931  |  0.1556  |    83    |    2516    |   11117    | 0h 12m 58s |     17     |
|    19    |  0.1671   |  0.1871  |  0.1651  |    95    |    2236    |   12005    | 0h 13m 49s |     15     |

Evaluation dataset: subval_4.parquet, length: 500, metric: SHORT_CODES, mean codes GT: 12.8
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.2289   |  0.2061  |  0.2043  |    76    |    223     |    6697    | 0h 8m 36s  |     11     |
|    1     |  0.1467   |  0.2123  |  0.1641  |    73    |    1134    |    8700    | 0h 10m 20s |     17     |
|    2     |  0.1894   |  0.2431  |  0.2003  |    62    |    1221    |    6400    |  0h 8m 3s  |     21     |
|    3     |  0.2245   |  0.2546  |  0.2234  |    55    |    1319    |   10292    | 0h 12m 38s |     15     |
|    4     |  0.1970   |  0.2314  |  0.1991  |    63    |    1678    |    7655    | 0h 9m 18s  |     19     |
|    5     |  0.1560   |  0.2637  |  0.1866  |    54    |    2506    |   12066    | 0h 16m 7s  |     22     |
|    6     |  0.1607   |  0.2487  |  0.1860  |    61    |    1883    |   11152    | 0h 13m 16s |     20     |
|    7     |  0.1934   |  0.2797  |  0.2151  |    51    |    1798    |   12172    | 0h 15m 14s |     20     |
|    8     |  0.2030   |  0.2587  |  0.2165  |    60    |    1750    |   11545    | 0h 15m 2s  |     17     |
|    9     |  0.1836   |  0.2443  |  0.1992  |    66    |    2093    |   11056    | 0h 12m 51s |     18     |
|    10    |  0.2056   |  0.2509  |  0.2115  |    60    |    2167    |   11586    | 0h 13m 54s |     17     |
|    11    |  0.1690   |  0.2691  |  0.1972  |    50    |    1787    |   12653    | 0h 15m 54s |     21     |
|    12    |  0.1820   |  0.2455  |  0.1981  |    52    |    2078    |   10066    | 0h 12m 13s |     17     |
|    13    |  0.1871   |  0.2624  |  0.2068  |    60    |    2252    |   11569    | 0h 15m 12s |     19     |
|    14    |  0.2298   |  0.2462  |  0.2235  |    61    |    1962    |   11470    | 0h 13m 7s  |     15     |
|    15    |  0.1872   |  0.2556  |  0.2040  |    64    |    1754    |   11114    | 0h 13m 24s |     19     |
|    16    |  0.2056   |  0.2348  |  0.2073  |    62    |    2806    |   12354    | 0h 13m 50s |     15     |
|    17    |  0.2453   |  0.2321  |  0.2221  |    73    |    2475    |   11558    | 0h 13m 27s |     13     |
|    18    |  0.1936   |  0.2431  |  0.2040  |    59    |    2516    |   11117    | 0h 12m 58s |     17     |
|    19    |  0.2281   |  0.2378  |  0.2168  |    66    |    2236    |   12005    | 0h 13m 49s |     15     |

