## General ##
Date: 2025-10-19
Used GPU: a100

## Data and Model ##
Dataset: subval_4.parquet, Shape: (500, 186)
Prompt set: one_short.json, #prompts: 20
Model: Qwen/Qwen3-8B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 25m 45s
Evaluation: 0h 0m 1s
Script total: 0h 25m 47s

## Evaluation ##
Evaluation dataset: subval_4.parquet, length: 500, metric: LONG_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.0776   |  0.0601  |  0.0633  |   262    |    223     |    7526    | 0h 12m 57s |     8      |
|    1     |  0.0858   |  0.1064  |  0.0899  |   156    |    1204    |   13579    | 0h 31m 40s |     16     |
|    2     |  0.0699   |  0.0337  |  0.0410  |   344    |    1045    |    9517    | 0h 15m 14s |     5      |
|    3     |  0.0850   |  0.1070  |  0.0900  |   163    |    1424    |   14653    | 0h 31m 58s |     15     |
|    4     |  0.0807   |  0.0990  |  0.0846  |   170    |    1767    |   12858    | 0h 25m 41s |     15     |
|    5     |  0.0861   |  0.1083  |  0.0912  |   150    |    2027    |   13994    | 0h 30m 29s |     15     |
|    6     |  0.0829   |  0.1040  |  0.0881  |   154    |    1750    |   14327    | 0h 33m 17s |     16     |
|    7     |  0.0909   |  0.1091  |  0.0938  |   140    |    3087    |   13325    | 0h 29m 34s |     15     |
|    8     |  0.0937   |  0.1223  |  0.1013  |   138    |    2722    |   14429    | 0h 35m 6s  |     16     |
|    9     |  0.0784   |  0.1214  |  0.0911  |   132    |    3702    |   16274    | 0h 40m 37s |     19     |
|    10    |  0.1040   |  0.1257  |  0.1084  |   131    |    4329    |   13881    | 0h 31m 40s |     15     |
|    11    |  0.0923   |  0.1293  |  0.1026  |   127    |    3430    |   14362    | 0h 34m 30s |     17     |
|    12    |  0.1026   |  0.1205  |  0.1060  |   139    |    4809    |   14340    | 0h 33m 10s |     15     |
|    13    |  0.0961   |  0.1230  |  0.1027  |   136    |    4565    |   14105    | 0h 33m 11s |     16     |
|    14    |  0.1019   |  0.1263  |  0.1065  |   129    |    5285    |   14293    | 0h 33m 13s |     15     |
|    15    |  0.1132   |  0.1243  |  0.1130  |   140    |    4185    |   14171    | 0h 32m 38s |     14     |
|    16    |  0.0950   |  0.1161  |  0.0997  |   150    |    4770    |   14127    | 0h 32m 30s |     15     |
|    17    |  0.1045   |  0.1272  |  0.1091  |   128    |    5118    |   14805    | 0h 35m 9s  |     15     |
|    18    |  0.1111   |  0.1283  |  0.1130  |   132    |    4912    |   14423    | 0h 33m 47s |     14     |
|    19    |  0.1002   |  0.0987  |  0.0939  |   169    |    4407    |   12375    | 0h 25m 45s |     12     |

Evaluation dataset: subval_4.parquet, length: 500, metric: SHORT_CODES, mean codes GT: 12.8
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.1366   |  0.0973  |  0.1065  |   190    |    223     |    7526    | 0h 12m 57s |     8      |
|    1     |  0.1431   |  0.1707  |  0.1471  |    92    |    1204    |   13579    | 0h 31m 40s |     16     |
|    2     |  0.0982   |  0.0462  |  0.0572  |   315    |    1045    |    9517    | 0h 15m 14s |     5      |
|    3     |  0.1360   |  0.1627  |  0.1409  |   112    |    1424    |   14653    | 0h 31m 58s |     15     |
|    4     |  0.1264   |  0.1487  |  0.1300  |   115    |    1767    |   12858    | 0h 25m 41s |     15     |
|    5     |  0.1409   |  0.1699  |  0.1469  |    98    |    2027    |   13994    | 0h 30m 29s |     15     |
|    6     |  0.1368   |  0.1622  |  0.1413  |   104    |    1750    |   14327    | 0h 33m 17s |     16     |
|    7     |  0.1499   |  0.1770  |  0.1533  |    92    |    3087    |   13325    | 0h 29m 34s |     15     |
|    8     |  0.1497   |  0.1802  |  0.1560  |    94    |    2722    |   14429    | 0h 35m 6s  |     16     |
|    9     |  0.1241   |  0.1844  |  0.1416  |    88    |    3702    |   16274    | 0h 40m 37s |     19     |
|    10    |  0.1604   |  0.1772  |  0.1602  |    93    |    4329    |   13881    | 0h 31m 40s |     15     |
|    11    |  0.1398   |  0.1805  |  0.1500  |    90    |    3430    |   14362    | 0h 34m 30s |     17     |
|    12    |  0.1569   |  0.1761  |  0.1580  |    93    |    4809    |   14340    | 0h 33m 10s |     15     |
|    13    |  0.1509   |  0.1777  |  0.1551  |    91    |    4565    |   14105    | 0h 33m 11s |     16     |
|    14    |  0.1537   |  0.1759  |  0.1556  |    88    |    5285    |   14293    | 0h 33m 13s |     15     |
|    15    |  0.1705   |  0.1749  |  0.1644  |    92    |    4185    |   14171    | 0h 32m 38s |     14     |
|    16    |  0.1502   |  0.1647  |  0.1500  |    97    |    4770    |   14127    | 0h 32m 30s |     15     |
|    17    |  0.1585   |  0.1779  |  0.1598  |    98    |    5118    |   14805    | 0h 35m 9s  |     15     |
|    18    |  0.1677   |  0.1789  |  0.1636  |    93    |    4912    |   14423    | 0h 33m 47s |     14     |
|    19    |  0.1537   |  0.1454  |  0.1409  |   122    |    4407    |   12375    | 0h 25m 45s |     12     |

